slug,author,title,narrator,runtime_hours
a-drop-of-corruption-bennett,Robert Jackson Bennett,A Drop of Corruption,Andrew Fallaize,15:31,,
a-stitch-in-time-robinson,Andrew Jordt Robinson,A Stitch in Time,Andrew Jordt Robinson,12:30,,
breath-the-new-science-of-a-lost-art-nestor,James Nestor,Breath: The New Science of a Lost Art,James Nestor, 7:55,,
city-of-illusions-guin,Ursula K. Le Guin,City of Illusions,Alyssa Bresnahan,,,
crossings-how-road-ecology-is-shaping-the-future-of-our-planet-goldfarb,Ben Goldfarb,Crossings: How Road Ecology Is Shaping the Future of Our Planet,Malcolm Hillgartner,11:52,
desolation-island-obrian,Patrick O'Brian,Desolation Island,Patrick Tull, 13:03,,
everything-must-go-the-stories-we-tell-about-the-end-of-the-world-lynskey,Dorian Lynskey,Everything Must Go: The Stories We Tell About the End of the World,Dorian Lynskey,14:50,,
how-rome-fell-death-of-a-superpower-goldsworthy,Adrian Goldsworthy,How Rome Fell: Death of a Superpower, Derek Perkins,18:27,
mastery-the-keys-to-success-and-long-term-fulfillment-leonard,George Leonard,Mastery: The Keys to Success and Long-Term Fulfillment,Timothy Andrés Pabon,3:57,,
no-more-mr-nice-guy-glover,Robert A. Glover,No More Mr. Nice Guy,Robert A. Glover, 6:49,,
nurtureshock-new-thinking-about-children-bronson-ashley-merryman,"Po Bronson, Ashley Merryman",NurtureShock: New Thinking About Children,Po Bronson,7:57,,
pet-emezi,Akwaeke Emezi,Pet,Christopher Myers,5:33,,
planet-of-exile-guin,Ursula K. Le Guin,Planet of Exile,Michael Crouch,,,
small-things-like-these-keegan,Claire Keegan,Small Things Like These,Alden Kelly,1:57,,
the-achilles-trap-coll,Steve Coll,"The Achilles Trap: Saddam Hussein, the C.I.A., and the Origins of America's Invasion of Iraq",Malcolm Hillgartner,17:58,,
the-daughters-war-buehlman,Christopher Buehlman,The Daughters' War,Nikki Garcia,13:14,,
the-fortune-of-war-obrian,Patrick O'Brian,The Fortune of War,Patrick Tull,13:10,,
the-golden-road-how-ancient-india-transformed-the-world-dalrymple,William Dalrymple,The Golden Road: How Ancient India Transformed the World,,
the-ionian-mission-obrian,Patrick O'Brian,The Ionian Mission,Patrick Tull,15:02,,
the-left-hand-of-darkness-guin,Ursula K. Le Guin,The Left Hand of Darkness,George Guldall,9:39,
the-mauritius-command-obrian,Patrick O'Brian,The Mauritius Command,Patrick Tull,13:56,,
the-splendid-and-the-vile-a-saga-of-churchill-family-and-defiance-during-the-blitz-larson,Erik Larson,"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",John Lee,17:49,,
the-surgeons-mate-obrian,Patrick O'Brian,The Surgeon's Mate,Patrick Tull,15:04,,
traitor-to-his-class-the-privileged-life-and-radical-presidency-of-franklin-delano-roosevelt-brands,H.W. Brands,Traitor to His Class: The Privileged Life and Radical Presidency of Franklin Delano Roosevelt,Mark Deakins,37:09,
