slug,type,author,title,series,number
sin-in-the-second-city-madams-ministers-playboys-and-the-battle-for-americas-soul-abbott,book,Karen Abbott,"Sin in the Second City: Madams, Ministers, Playboys, and the Battle for America's Soul",,
soldiers-of-reason-the-rand-corporation-and-the-rise-of-the-american-empire-abella,book,Alex Abella,Soldiers Of Reason: The RAND Corporation And The Rise Of The American Empire,,
half-a-king-abercrombie,book,Joe Abercrombie,Half a King,Shattered Sea,1
half-a-war-abercrombie-keating,audiobook,Joe Abercrombie,Half a War,Shattered Sea,3
half-the-world-abercrombie-keating,audiobook,Joe Abercrombie,Half the World,Shattered Sea,2
all-the-pieces-matter-the-inside-story-of-the-wire-abrams,book,Jonathan Abrams,All the Pieces Matter: The Inside Story of The Wire,,
band-of-blades-acimovic-john-leboeuf-little,rpg,Stras Acimovic,Band of Blades,,
scum-and-villainy-acimovic-john-leboeuf-little,rpg,Stras Acimovic,Scum and Villainy,,
life-the-universe-and-everything-adams,book,Douglas Adams,"Life, the Universe and Everything",The Hitchhiker’s Guide to the Galaxy,3
mostly-harmless-adams,book,Douglas Adams,Mostly Harmless,The Hitchhiker’s Guide to the Galaxy,5
so-long-and-thanks-for-all-the-fish-adams,book,Douglas Adams,"So Long, and Thanks for All the Fish",The Hitchhiker’s Guide to the Galaxy,4
the-hitchhikers-guide-to-the-galaxy-adams,book,Douglas Adams,The Hitchhiker’s Guide to the Galaxy,The Hitchhiker’s Guide to the Galaxy,1
the-long-dark-tea-time-of-the-soul-adams,book,Douglas Adams,The Long Dark Tea-Time of the Soul,,
the-restaurant-at-the-end-of-the-universe-adams,book,Douglas Adams,The Restaurant at the End of the Universe,The Hitchhiker’s Guide to the Galaxy,2
the-best-war-ever-america-and-world-war-ii-the-american-moment-adams,book,Michael C.C. Adams,The Best War Ever: America and World War II (The American Moment),,
war-of-numbers-an-intelligence-memoir-of-the-vietnam-wars-uncounted-enemy-adams,book,Sam Adams,War of Numbers: An Intelligence Memoir of the Vietnam War's Uncounted Enemy,,
the-heap-adams,book,Sean Adams,The Heap,,
the-goblin-emperor-addison,book,Katherine Addison,The Goblin Emperor,,
an-everlasting-meal-cooking-with-economy-and-grace-adler-alice-waters,book,Tamar Adler,An Everlasting Meal: Cooking with Economy and Grace,,
how-to-disappear-erase-your-digital-footprint-leave-false-trails-and-vanish-without-a-trace-ahearn-eileen-c-horan,book,Frank M. Ahearn,"How to Disappear: Erase your Digital Footprint, Leave False Trails, and Vanish without A Trace",,
comrades-a-revolutionary-rpg-akers,rpg,W.M. Akers,Comrades: A Revolutionary RPG,,
westside-akers,book,W.M. Akers,Westside,Westside,1
westside-saints-akers,book,W.M. Akers,Westside Saints,Westside,2
engineering-the-revolution-arms-and-enlightenment-in-france-1763-1815-alder,book,Ken Alder,"Engineering the Revolution: Arms and Enlightenment in France, 1763-1815",,
